Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features
what is digital media,gb,13,400,0.8,226,NA,1.22,digital media,2020-05-04 08:46:49,"Sitelinks, People also ask, Top stories, Thumbnails"
marketing services,gb,5,400,6,266,NA,1.26,marketing services,2020-05-05 10:51:03,"People also ask, Sitelinks, Image pack"
digital marketing london,gb,41,400,9,777,NA,1.87,digital marketing agency,2020-05-02 02:45:42,"Sitelinks, Adwords bottom"
digital business,gb,33,400,5,198,NA,1.19,digital company,2020-04-26 19:12:35,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Top stories, Adwords bottom"
agency online,gb,66,350,4.5,Other,NA,NaN,agency online,2020-04-15 18:50:27,"Sitelinks, Adwords bottom"
seo services london,gb,44,350,25,320,NA,2.74,seo services london,2020-05-01 03:22:55,"Adwords bottom, Sitelinks"
define more,gb,85,350,0,25,NA,1.39,more,2020-05-07 08:19:44,"Knowledge card, Sitelinks, People also ask"
digital technology definition,gb,12,350,1.4,207,NA,1.11,digital technology,2020-04-23 10:34:31,"Featured snippet, People also ask, Top stories, Thumbnails"
digital marketing campaign,gb,39,300,11,217,NA,1.36,marketing pricing,2020-04-26 22:21:26,"Adwords top, Sitelinks, Featured snippet, People also ask"
marketing online,gb,70,300,10,170,NA,1.25,online marketing,2020-05-03 04:10:16,"People also ask, Top stories, Thumbnails, Adwords bottom, Sitelinks"
on digital,gb,62,300,0,229,NA,1.09,itv digital,2020-04-21 02:44:49,"Sitelinks, People also ask, Top stories, Thumbnails, Image pack"
www coast,gb,4,300,0.1,Other,NA,NaN,coast,2020-04-24 04:09:23,Sitelinks
what is this?,gb,74,300,Other,122,NA,1.12,what is this,2020-04-29 07:44:47,"Sitelinks, Top stories, Thumbnails, Image pack"
social media companies,gb,25,300,7,236,NA,1.12,social media marketing agency,2020-05-03 17:36:49,"Adwords top, Sitelinks, People also ask, Adwords bottom"
define numerous,gb,21,300,0,17,NA,1.16,numerous,2020-05-01 19:04:37,"Knowledge card, People also ask, Top stories, Thumbnails"
online media,gb,22,300,1.2,92,NA,1.13,digital media,2020-04-26 07:13:11,"Sitelinks, People also ask, Top stories, Thumbnails"
marketing blogs,gb,30,300,2,382,NA,1.2,marketing blogs,2020-04-28 10:39:10,Sitelinks
what is digital,gb,30,300,0,310,NA,1.23,digital,2020-04-30 23:40:03,"People also ask, Sitelinks, Top stories, Thumbnails"
define constitutes,gb,8,300,Other,23,NA,1.13,constitute,2020-05-04 07:32:28,"Knowledge card, People also ask"
digital marketing agencies,gb,35,300,15,473,NA,1.48,digital marketing agency,2020-05-08 20:03:47,"Adwords top, Sitelinks, Adwords bottom"
hibspot,gb,67,300,2,265,NA,1.7,hubspot,2020-04-28 19:35:38,"Adwords top, Sitelinks, Top stories, Thumbnails, People also ask, Tweet box, Image pack"
www coast co uk,gb,4,300,0.35,Other,NA,NaN,coast,2020-04-16 15:46:51,Sitelinks
